epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3316.08,0.90128,0.49789,0.99664,0.96641,0.96515,0.97718,0.74199,0.87954,0.4561,0.99572,0.000742625,0.000742625,0.000742625
43,3394.2,0.89687,0.48997,0.99276,0.96496,0.95822,0.97331,0.74038,0.89112,0.45877,0.99448,0.00073025,0.00073025,0.00073025
44,3472.31,0.8834,0.49387,0.99025,0.96408,0.97484,0.9792,0.74597,0.87347,0.46326,0.986,0.000717875,0.000717875,0.000717875
45,3550.47,0.89231,0.49134,0.99175,0.958,0.9738,0.97694,0.74497,0.87267,0.4502,0.98193,0.0007055,0.0007055,0.0007055
46,3628.87,0.88397,0.48981,0.991,0.95439,0.96577,0.97479,0.74791,0.86269,0.45094,0.98484,0.000693125,0.000693125,0.000693125
47,3707.19,0.87668,0.49127,0.98697,0.97254,0.95735,0.97813,0.74544,0.89409,0.45388,1.00067,0.00068075,0.00068075,0.00068075
48,3785.28,0.86695,0.48023,0.98592,0.97542,0.9668,0.97786,0.74906,0.87854,0.44687,0.99758,0.000668375,0.000668375,0.000668375
49,3863.64,0.87774,0.48434,0.98908,0.96388,0.97153,0.97675,0.74286,0.88899,0.45341,0.98739,0.000656,0.000656,0.000656
50,3941.46,0.87259,0.47574,0.98011,0.96463,0.96476,0.97695,0.75064,0.86943,0.4507,0.98154,0.000643625,0.000643625,0.000643625
51,4019.44,0.88096,0.48077,0.98107,0.97272,0.97084,0.98042,0.75607,0.87208,0.43916,0.97727,0.00063125,0.00063125,0.00063125
52,4097.41,0.85824,0.46991,0.98813,0.97401,0.97637,0.98291,0.75488,0.85622,0.4323,0.97603,0.000618875,0.000618875,0.000618875
53,4176.19,0.86096,0.47146,0.98815,0.97107,0.97484,0.98131,0.75267,0.85789,0.43374,0.98984,0.0006065,0.0006065,0.0006065
54,4255.66,0.84812,0.46434,0.97712,0.97751,0.96532,0.98129,0.74848,0.87561,0.44309,0.98198,0.000594125,0.000594125,0.000594125
55,4334.17,0.85813,0.46386,0.98315,0.96972,0.97494,0.98117,0.75294,0.8726,0.43748,1.00019,0.00058175,0.00058175,0.00058175
56,4412.74,0.8412,0.45538,0.97567,0.96909,0.96208,0.97973,0.75458,0.86912,0.43106,0.98963,0.000569375,0.000569375,0.000569375
57,4491.1,0.84489,0.45815,0.98012,0.97601,0.96694,0.98015,0.75727,0.86118,0.43489,0.97626,0.000557,0.000557,0.000557
58,4569.24,0.83783,0.46152,0.97192,0.97207,0.97784,0.98125,0.75696,0.85308,0.42545,0.96898,0.000544625,0.000544625,0.000544625
59,4648.76,0.857,0.46324,0.97373,0.96524,0.97474,0.97907,0.74836,0.86892,0.43048,0.97156,0.00053225,0.00053225,0.00053225
60,4730.31,0.84634,0.45144,0.96697,0.96827,0.97648,0.97938,0.76118,0.85069,0.42814,0.97862,0.000519875,0.000519875,0.000519875
61,4810.17,0.8416,0.45357,0.9782,0.96442,0.96849,0.97778,0.75356,0.85777,0.42442,0.9848,0.0005075,0.0005075,0.0005075
62,4888.23,0.82272,0.44618,0.96852,0.96204,0.9741,0.97822,0.76017,0.84709,0.42391,0.9767,0.000495125,0.000495125,0.000495125
63,4966.1,0.82523,0.44266,0.96615,0.96952,0.97816,0.98353,0.755,0.85646,0.41464,0.97669,0.00048275,0.00048275,0.00048275
64,5043.86,0.82398,0.44329,0.96808,0.97916,0.97737,0.98404,0.7659,0.84742,0.41638,0.97689,0.000470375,0.000470375,0.000470375
65,5121.69,0.84471,0.44778,0.97606,0.96547,0.97527,0.97881,0.76178,0.84107,0.4172,0.97018,0.000458,0.000458,0.000458
66,5199.45,0.81635,0.43671,0.96534,0.97071,0.97419,0.98377,0.76571,0.84672,0.41547,0.96615,0.000445625,0.000445625,0.000445625
67,5277.04,0.81161,0.42956,0.96232,0.96966,0.97537,0.98062,0.76465,0.85035,0.41997,0.9646,0.00043325,0.00043325,0.00043325
