epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8543,1.44154,2.46094,1.25177,0.7559,0.57343,0.71239,0.44604,1.34419,1.86846,1.17059,0.000412879,0.000412879,0.000412879
2,142.247,1.35804,1.38784,1.2001,0.82583,0.78243,0.84406,0.51857,1.24,1.20773,1.13755,0.000821333,0.000821333,0.000821333
3,213.513,1.30824,1.18459,1.1657,0.93272,0.82349,0.90793,0.57582,1.15813,1.0971,1.11133,0.00122154,0.00122154,0.00122154
4,285.416,1.2601,1.1005,1.1482,0.90532,0.87823,0.91183,0.57493,1.164,1.02148,1.11198,0.00121287,0.00121287,0.00121287
5,356.825,1.2355,1.01542,1.13108,0.91368,0.87929,0.91542,0.59476,1.09692,0.89873,1.08406,0.0012005,0.0012005,0.0012005
6,430.052,1.17464,0.93278,1.10159,0.90714,0.89662,0.93252,0.58626,1.16649,0.844,1.10056,0.00118812,0.00118812,0.00118812
7,503.596,1.17613,0.91067,1.09888,0.8875,0.89985,0.92755,0.60084,1.1253,0.89901,1.08816,0.00117575,0.00117575,0.00117575
8,578.476,1.14285,0.86566,1.09494,0.93361,0.93057,0.94243,0.64548,1.05208,0.75066,1.04726,0.00116337,0.00116337,0.00116337
9,654.662,1.13124,0.81124,1.08678,0.93412,0.92062,0.95419,0.63982,1.0634,0.74466,1.07433,0.001151,0.001151,0.001151
10,730.724,1.10589,0.78219,1.08372,0.94158,0.9253,0.95667,0.6603,1.02353,0.68562,1.04254,0.00113863,0.00113863,0.00113863
11,805.234,1.10843,0.77025,1.07686,0.95313,0.92119,0.95838,0.64925,1.03478,0.68165,1.04619,0.00112625,0.00112625,0.00112625
12,879.038,1.10078,0.74398,1.07583,0.92552,0.94148,0.95841,0.6579,1.03892,0.66488,1.05001,0.00111388,0.00111388,0.00111388
13,955.035,1.08406,0.73464,1.06852,0.94361,0.92338,0.95542,0.6534,1.04464,0.65427,1.04683,0.0011015,0.0011015,0.0011015
14,1031.53,1.06251,0.70164,1.05636,0.94973,0.9224,0.95832,0.66323,1.00905,0.64386,1.04205,0.00108913,0.00108913,0.00108913
15,1105.6,1.0235,0.66612,1.03721,0.93307,0.9456,0.96199,0.66297,1.01958,0.61723,1.0348,0.00107675,0.00107675,0.00107675
16,1180.55,1.039,0.66352,1.0402,0.94498,0.94464,0.95719,0.68223,0.97634,0.60466,1.02152,0.00106437,0.00106437,0.00106437
17,1255.28,1.02593,0.64524,1.04414,0.95659,0.93872,0.96591,0.67489,0.98684,0.58959,1.03495,0.001052,0.001052,0.001052
18,1328.27,1.00344,0.64035,1.0382,0.95512,0.94051,0.97265,0.68678,0.96109,0.57885,1.012,0.00103962,0.00103962,0.00103962
19,1400.41,1.02103,0.64647,1.03922,0.94085,0.9526,0.96296,0.67374,1.00102,0.5962,1.03332,0.00102725,0.00102725,0.00102725
20,1475.91,1.02097,0.62735,1.03485,0.95682,0.94851,0.97035,0.6873,0.98093,0.56383,1.01563,0.00101488,0.00101488,0.00101488
21,1548.25,1.0095,0.61932,1.02835,0.96282,0.9631,0.97333,0.69615,0.98433,0.55512,1.03586,0.0010025,0.0010025,0.0010025
22,1622.89,1.00573,0.6125,1.03068,0.96517,0.95881,0.97265,0.69892,0.97301,0.55351,1.02356,0.000990125,0.000990125,0.000990125
23,1692.8,0.99786,0.60025,1.03096,0.96653,0.9595,0.97726,0.71541,0.93327,0.5436,0.99602,0.00097775,0.00097775,0.00097775
24,1765.33,0.97241,0.59089,1.02303,0.95848,0.95863,0.97328,0.69469,0.9726,0.55118,1.01898,0.000965375,0.000965375,0.000965375
25,1835.15,0.97585,0.57449,1.01888,0.96176,0.97009,0.97663,0.71086,0.95101,0.52823,1.01485,0.000953,0.000953,0.000953
26,1904.71,0.9751,0.58578,1.0266,0.95755,0.938,0.96657,0.70845,0.92936,0.53969,1.00551,0.000940625,0.000940625,0.000940625
27,1974.31,0.98469,0.58432,1.02156,0.96142,0.94482,0.9711,0.69003,0.96936,0.52949,1.02544,0.00092825,0.00092825,0.00092825
28,2044.32,0.95688,0.57993,1.0126,0.97178,0.95474,0.97891,0.71513,0.93526,0.52263,1.01168,0.000915875,0.000915875,0.000915875
29,2113.76,0.93515,0.56327,1.01192,0.96673,0.9524,0.97374,0.72044,0.913,0.50435,1.00776,0.0009035,0.0009035,0.0009035
30,2186.78,0.94326,0.56601,1.01909,0.9644,0.9558,0.97509,0.69902,0.98437,0.51635,1.04734,0.000891125,0.000891125,0.000891125
31,2258.76,0.95642,0.55844,1.01766,0.97211,0.95413,0.97708,0.71842,0.93253,0.5089,1.01249,0.00087875,0.00087875,0.00087875
32,2329.01,0.9486,0.55823,1.00714,0.95179,0.97213,0.97787,0.72031,0.92417,0.50351,1.01095,0.000866375,0.000866375,0.000866375
33,2398.82,0.96852,0.56979,1.01815,0.96256,0.96581,0.97935,0.72534,0.93765,0.50966,1.01467,0.000854,0.000854,0.000854
34,2467.93,0.9342,0.54482,1.00513,0.96979,0.96907,0.98245,0.72245,0.92511,0.49514,1.00751,0.000841625,0.000841625,0.000841625
35,2537.04,0.93451,0.54189,1.00816,0.97834,0.94987,0.9796,0.71767,0.92758,0.49321,1.01488,0.00082925,0.00082925,0.00082925
36,2606.79,0.9362,0.53858,1.00929,0.96851,0.95907,0.97865,0.71315,0.93299,0.48775,1.01263,0.000816875,0.000816875,0.000816875
37,2676.7,0.92801,0.53338,1.00074,0.97029,0.95567,0.98069,0.7253,0.91285,0.49859,0.98981,0.0008045,0.0008045,0.0008045
38,2747.72,0.91889,0.53883,1.00376,0.96986,0.96706,0.98165,0.72508,0.92601,0.48751,1.0007,0.000792125,0.000792125,0.000792125
39,2819.64,0.91642,0.53114,1.00008,0.97267,0.96331,0.98339,0.72811,0.92765,0.48788,1.00748,0.00077975,0.00077975,0.00077975
40,2890.69,0.89573,0.52257,0.99196,0.96995,0.95799,0.9814,0.73464,0.90211,0.46658,0.99202,0.000767375,0.000767375,0.000767375
41,2961.41,0.89997,0.52655,0.99079,0.96915,0.96863,0.98081,0.73564,0.88035,0.46521,0.99113,0.000755,0.000755,0.000755
42,3033.05,0.90434,0.51667,0.99249,0.9651,0.97353,0.98019,0.73779,0.90121,0.47451,0.99998,0.000742625,0.000742625,0.000742625
43,3102.12,0.89551,0.51153,0.99118,0.96927,0.95759,0.97887,0.73883,0.89414,0.47411,0.99401,0.00073025,0.00073025,0.00073025
44,3171.83,0.90896,0.5159,0.99775,0.97448,0.95926,0.98126,0.74016,0.89757,0.47393,0.98577,0.000717875,0.000717875,0.000717875
45,3242.09,0.91546,0.51587,0.9982,0.9733,0.95076,0.97879,0.73385,0.90551,0.47157,0.99882,0.0007055,0.0007055,0.0007055
46,3315.34,0.89631,0.50482,0.98636,0.96099,0.97026,0.98096,0.73707,0.90691,0.46479,0.99504,0.000693125,0.000693125,0.000693125
47,3387.55,0.88881,0.50049,0.9894,0.97061,0.96012,0.97864,0.73589,0.90657,0.45879,1.00429,0.00068075,0.00068075,0.00068075
48,3454.23,0.88247,0.48981,0.98275,0.98374,0.96326,0.98371,0.73857,0.88455,0.45157,0.98941,0.000668375,0.000668375,0.000668375
49,3521.87,0.86814,0.49515,0.98428,0.97485,0.96108,0.98122,0.74743,0.8936,0.44716,0.98955,0.000656,0.000656,0.000656
50,3589.46,0.87077,0.49003,0.97656,0.96807,0.96808,0.98081,0.74397,0.8891,0.45157,0.99056,0.000643625,0.000643625,0.000643625
51,3661.3,0.87565,0.4906,0.98374,0.97378,0.97035,0.98133,0.74376,0.89985,0.45772,1.0021,0.00063125,0.00063125,0.00063125
52,3731.63,0.88914,0.49518,0.98871,0.96672,0.9694,0.98129,0.73547,0.90136,0.44587,1.00063,0.000618875,0.000618875,0.000618875
53,3802.27,0.86184,0.47936,0.98458,0.97219,0.97267,0.98347,0.74301,0.89205,0.44352,0.99572,0.0006065,0.0006065,0.0006065
54,3874.16,0.86595,0.47918,0.97868,0.97505,0.96486,0.98237,0.74978,0.885,0.44668,0.99004,0.000594125,0.000594125,0.000594125
55,3943.31,0.85353,0.46957,0.97871,0.96929,0.97158,0.9837,0.74755,0.88718,0.44268,0.99322,0.00058175,0.00058175,0.00058175
56,4012.13,0.86754,0.48231,0.98138,0.97851,0.96882,0.98281,0.74395,0.88859,0.43896,0.99248,0.000569375,0.000569375,0.000569375
57,4079.83,0.85342,0.47014,0.97085,0.97874,0.96408,0.98257,0.75535,0.86832,0.43413,0.98325,0.000557,0.000557,0.000557
58,4147.08,0.86159,0.47437,0.9825,0.9799,0.97521,0.9851,0.76045,0.87502,0.43487,0.9835,0.000544625,0.000544625,0.000544625
59,4214.71,0.87269,0.47719,0.97805,0.97429,0.97526,0.98423,0.75422,0.86905,0.44192,0.98973,0.00053225,0.00053225,0.00053225
60,4282.83,0.85289,0.47757,0.97595,0.96695,0.97063,0.98111,0.75632,0.87289,0.42775,0.98525,0.000519875,0.000519875,0.000519875
61,4348.5,0.83542,0.46906,0.97339,0.97228,0.95947,0.98162,0.74925,0.86067,0.4339,0.98432,0.0005075,0.0005075,0.0005075
62,4414.99,0.83534,0.45524,0.96083,0.97029,0.97034,0.98299,0.74885,0.88408,0.42513,0.99336,0.000495125,0.000495125,0.000495125
63,4481.81,0.82279,0.4513,0.96162,0.97524,0.97372,0.9857,0.75687,0.86233,0.42878,0.97558,0.00048275,0.00048275,0.00048275
64,4549,0.84784,0.46382,0.97203,0.97734,0.96893,0.98512,0.75849,0.86805,0.43022,0.98352,0.000470375,0.000470375,0.000470375
65,4618.59,0.8239,0.45049,0.96284,0.97851,0.97514,0.98642,0.7532,0.86531,0.42259,0.97686,0.000458,0.000458,0.000458
66,4688.6,0.82912,0.44937,0.96497,0.97565,0.97977,0.9847,0.75377,0.86981,0.4224,0.97338,0.000445625,0.000445625,0.000445625
67,4758.38,0.82853,0.44586,0.95713,0.96896,0.97595,0.98468,0.76259,0.86926,0.41676,0.98182,0.00043325,0.00043325,0.00043325
68,4825.97,0.8298,0.44897,0.96175,0.97772,0.98008,0.98632,0.76126,0.85483,0.42295,0.97112,0.000420875,0.000420875,0.000420875
69,4892.6,0.82128,0.4503,0.95693,0.97821,0.97526,0.98749,0.76025,0.86328,0.42286,0.97472,0.0004085,0.0004085,0.0004085
70,4958.1,0.81295,0.44334,0.95675,0.98041,0.9763,0.9876,0.76634,0.85225,0.41436,0.96808,0.000396125,0.000396125,0.000396125
71,5023.21,0.81647,0.44027,0.95516,0.97863,0.97149,0.98635,0.76524,0.85925,0.40548,0.9781,0.00038375,0.00038375,0.00038375
72,5088.59,0.81557,0.44296,0.9605,0.9763,0.97052,0.98144,0.7591,0.86017,0.41284,0.97428,0.000371375,0.000371375,0.000371375
73,5153.67,0.81123,0.44005,0.95827,0.97483,0.97065,0.98311,0.77061,0.84398,0.40977,0.97398,0.000359,0.000359,0.000359
74,5218.82,0.80403,0.44011,0.95589,0.98216,0.97744,0.9823,0.7674,0.8468,0.4141,0.97934,0.000346625,0.000346625,0.000346625
75,5283.99,0.80315,0.44324,0.95816,0.97781,0.97374,0.98382,0.76274,0.85621,0.41459,0.97162,0.00033425,0.00033425,0.00033425
76,5349.78,0.79604,0.42716,0.95214,0.98158,0.96876,0.9848,0.76766,0.84415,0.40454,0.9699,0.000321875,0.000321875,0.000321875
77,5415.48,0.78705,0.43738,0.94954,0.97781,0.9756,0.98466,0.76422,0.85559,0.40713,0.97353,0.0003095,0.0003095,0.0003095
78,5481.3,0.80642,0.43238,0.95156,0.97459,0.9715,0.98409,0.76491,0.85156,0.40707,0.9687,0.000297125,0.000297125,0.000297125
79,5546.47,0.81091,0.43167,0.96061,0.98195,0.9735,0.98621,0.77028,0.84846,0.40769,0.97095,0.00028475,0.00028475,0.00028475
80,5611.9,0.79465,0.42821,0.94941,0.97952,0.9773,0.98375,0.76283,0.84877,0.40662,0.96963,0.000272375,0.000272375,0.000272375
81,5678.63,0.78946,0.43042,0.95279,0.98053,0.97584,0.98378,0.76881,0.84176,0.39866,0.97205,0.00026,0.00026,0.00026
82,5745.17,0.77873,0.42354,0.94797,0.98013,0.98225,0.9864,0.77013,0.83645,0.39816,0.96636,0.000247625,0.000247625,0.000247625
83,5812.25,0.78031,0.41834,0.94844,0.98314,0.97573,0.98552,0.77024,0.84159,0.393,0.96838,0.00023525,0.00023525,0.00023525
84,5881.21,0.7859,0.41853,0.94698,0.98501,0.97884,0.98593,0.76866,0.83798,0.39123,0.96747,0.000222875,0.000222875,0.000222875
85,5949.79,0.78662,0.42384,0.94851,0.97978,0.97898,0.9846,0.77172,0.84313,0.39774,0.96321,0.0002105,0.0002105,0.0002105
86,6017.42,0.77863,0.41136,0.95314,0.98604,0.97826,0.98637,0.77078,0.8364,0.39259,0.96192,0.000198125,0.000198125,0.000198125
87,6085.44,0.76512,0.41077,0.94006,0.97897,0.97904,0.98459,0.77094,0.83699,0.39406,0.9636,0.00018575,0.00018575,0.00018575
88,6154.69,0.76537,0.41119,0.94127,0.97999,0.97496,0.98443,0.77159,0.83404,0.39267,0.96568,0.000173375,0.000173375,0.000173375
89,6221.96,0.76268,0.41213,0.94059,0.97357,0.97866,0.98445,0.77094,0.82748,0.39078,0.96143,0.000161,0.000161,0.000161
90,6287.64,0.77382,0.40998,0.94148,0.97187,0.97866,0.98419,0.77353,0.83387,0.38975,0.96544,0.000148625,0.000148625,0.000148625
91,6351.99,0.75244,0.38365,0.92047,0.97843,0.97911,0.98546,0.76124,0.84373,0.39288,0.97144,0.00013625,0.00013625,0.00013625
92,6416,0.74234,0.37688,0.92014,0.97767,0.98103,0.98686,0.76882,0.83418,0.38874,0.96827,0.000123875,0.000123875,0.000123875
93,6480.36,0.7411,0.3762,0.91699,0.97457,0.98103,0.98531,0.77153,0.83093,0.39033,0.96515,0.0001115,0.0001115,0.0001115
94,6544.47,0.74105,0.37239,0.91551,0.97289,0.97933,0.98682,0.77512,0.83094,0.3866,0.96217,9.9125e-05,9.9125e-05,9.9125e-05
95,6608.62,0.7391,0.37103,0.91223,0.97548,0.97875,0.98608,0.77025,0.8282,0.38647,0.96283,8.675e-05,8.675e-05,8.675e-05
96,6673.84,0.72507,0.36409,0.91255,0.97566,0.98021,0.98675,0.77119,0.83194,0.38508,0.96704,7.4375e-05,7.4375e-05,7.4375e-05
97,6739.49,0.7271,0.36448,0.91336,0.9817,0.98225,0.98743,0.77384,0.83172,0.38215,0.96728,6.2e-05,6.2e-05,6.2e-05
98,6805.55,0.7234,0.36578,0.91035,0.97741,0.97949,0.98644,0.77548,0.8253,0.38049,0.96116,4.9625e-05,4.9625e-05,4.9625e-05
99,6871.03,0.71139,0.36173,0.90652,0.9789,0.98049,0.98658,0.77739,0.82597,0.37862,0.96246,3.725e-05,3.725e-05,3.725e-05
100,6936.37,0.71993,0.36055,0.91032,0.98134,0.98054,0.98817,0.77568,0.82515,0.37962,0.96343,2.4875e-05,2.4875e-05,2.4875e-05
