epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2669.47,0.9039,0.5183,1.01667,0.96218,0.9478,0.9756,0.73434,0.9033,0.48248,1.02624,0.000742625,0.000742625,0.000742625
43,2729.99,0.89655,0.51681,1.00411,0.95398,0.96321,0.97615,0.72164,0.9332,0.4851,1.041,0.00073025,0.00073025,0.00073025
44,2792.12,0.89577,0.517,1.01544,0.96472,0.95416,0.9749,0.73081,0.90309,0.47682,1.0292,0.000717875,0.000717875,0.000717875
45,2853.25,0.88654,0.50777,1.00572,0.96178,0.96395,0.97925,0.73541,0.88997,0.47567,1.02219,0.0007055,0.0007055,0.0007055
46,2914.07,0.89773,0.49791,1.01061,0.95836,0.96636,0.97927,0.73957,0.90535,0.4741,1.02129,0.000693125,0.000693125,0.000693125
47,2977.64,0.90597,0.51125,1.02028,0.95574,0.96602,0.97862,0.74952,0.88873,0.46117,1.013,0.00068075,0.00068075,0.00068075
48,3040.22,0.88272,0.50237,1.0075,0.96622,0.95836,0.97949,0.7383,0.90191,0.46986,1.02125,0.000668375,0.000668375,0.000668375
49,3102.92,0.87803,0.50094,1.00642,0.96404,0.96604,0.98202,0.74833,0.87699,0.45327,1.02075,0.000656,0.000656,0.000656
50,3164.77,0.88001,0.49712,1.00187,0.96168,0.9602,0.97708,0.74792,0.87937,0.45389,1.01419,0.000643625,0.000643625,0.000643625
51,3226.35,0.86983,0.49584,0.99813,0.96936,0.94849,0.97646,0.74703,0.86439,0.46353,0.99605,0.00063125,0.00063125,0.00063125
52,3288.21,0.89118,0.50595,0.99903,0.97008,0.96007,0.98113,0.73993,0.8828,0.45805,1.00109,0.000618875,0.000618875,0.000618875
53,3349.85,0.87082,0.49113,0.99869,0.97239,0.96608,0.97911,0.73772,0.89855,0.46173,1.01936,0.0006065,0.0006065,0.0006065
54,3411.66,0.86681,0.49148,0.99645,0.96952,0.96807,0.98421,0.75073,0.87102,0.44902,1.0113,0.000594125,0.000594125,0.000594125
55,3472.44,0.87185,0.4868,0.99436,0.97095,0.96724,0.98013,0.744,0.88196,0.44171,1.02219,0.00058175,0.00058175,0.00058175
56,3532.75,0.85577,0.47765,0.98906,0.97388,0.96733,0.98148,0.74449,0.89034,0.4463,1.01359,0.000569375,0.000569375,0.000569375
57,3593.16,0.85484,0.47411,0.98995,0.97564,0.96551,0.9815,0.74842,0.87785,0.44779,1.00964,0.000557,0.000557,0.000557
58,3653.83,0.86558,0.47991,0.99632,0.96141,0.97011,0.98074,0.75282,0.86078,0.44026,1.0173,0.000544625,0.000544625,0.000544625
59,3714.68,0.85136,0.47355,0.99234,0.96413,0.96906,0.98257,0.7477,0.87575,0.43359,1.02486,0.00053225,0.00053225,0.00053225
60,3781.72,0.8421,0.46663,0.9942,0.97036,0.96572,0.97985,0.75055,0.86948,0.43055,1.02167,0.000519875,0.000519875,0.000519875
61,3842.53,0.85723,0.47327,0.99389,0.97577,0.96506,0.9809,0.75721,0.86032,0.42711,1.02005,0.0005075,0.0005075,0.0005075
62,3903.07,0.85835,0.47343,0.98832,0.97357,0.96608,0.98186,0.74926,0.86729,0.42898,1.01557,0.000495125,0.000495125,0.000495125
63,3963.66,0.84437,0.45821,0.98543,0.97914,0.9655,0.98263,0.75401,0.8703,0.42657,1.00908,0.00048275,0.00048275,0.00048275
64,4024.03,0.85191,0.47104,0.99578,0.97376,0.96904,0.98592,0.75124,0.86995,0.42999,1.0124,0.000470375,0.000470375,0.000470375
65,4085.75,0.85084,0.46487,0.98633,0.98073,0.96945,0.98647,0.76246,0.85387,0.42971,1.00827,0.000458,0.000458,0.000458
66,4148.57,0.81938,0.45094,0.98057,0.97008,0.97106,0.98453,0.75541,0.85473,0.43226,1.00024,0.000445625,0.000445625,0.000445625
67,4210.1,0.82315,0.45406,0.97682,0.97522,0.96209,0.98476,0.75485,0.84928,0.43003,1.00642,0.00043325,0.00043325,0.00043325
68,4271.37,0.83711,0.44824,0.98748,0.96694,0.97025,0.98459,0.7524,0.86872,0.4282,1.00872,0.000420875,0.000420875,0.000420875
69,4333.15,0.82106,0.4454,0.97361,0.97906,0.963,0.98402,0.75674,0.86571,0.42127,1.00899,0.0004085,0.0004085,0.0004085
70,4397.14,0.82356,0.45048,0.98033,0.97765,0.95791,0.98336,0.75824,0.85951,0.4171,1.01144,0.000396125,0.000396125,0.000396125
71,4461.26,0.82476,0.44824,0.97948,0.97053,0.96429,0.98295,0.7599,0.84713,0.4111,1.01115,0.00038375,0.00038375,0.00038375
72,4525.32,0.82491,0.44525,0.9779,0.97186,0.97394,0.98405,0.76616,0.84556,0.41065,0.99902,0.000371375,0.000371375,0.000371375
