epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3612.22,0.8775,0.49174,0.98611,0.9579,0.9725,0.97377,0.74479,0.8781,0.46888,0.9844,0.000742625,0.000742625,0.000742625
43,3690.57,0.89466,0.50326,0.99177,0.96597,0.96968,0.97764,0.73616,0.86466,0.47437,0.97937,0.00073025,0.00073025,0.00073025
44,3770.04,0.87925,0.49707,0.98458,0.96954,0.97973,0.97742,0.73401,0.87031,0.46857,0.99076,0.000717875,0.000717875,0.000717875
45,3850.03,0.89017,0.51067,0.99252,0.96324,0.97649,0.97844,0.73223,0.87385,0.47335,0.99609,0.0007055,0.0007055,0.0007055
46,3928.17,0.89901,0.49704,0.9938,0.96604,0.97577,0.9803,0.74273,0.87393,0.473,0.9909,0.000693125,0.000693125,0.000693125
47,4007.77,0.8728,0.48776,0.98546,0.97058,0.96192,0.97263,0.74627,0.87003,0.46324,0.98602,0.00068075,0.00068075,0.00068075
48,4088.46,0.86274,0.47628,0.97831,0.96203,0.96392,0.97619,0.73824,0.87492,0.4731,0.97924,0.000668375,0.000668375,0.000668375
49,4168.61,0.87329,0.48654,0.9805,0.96324,0.9607,0.97317,0.74697,0.86205,0.46304,0.98597,0.000656,0.000656,0.000656
50,4247.82,0.87655,0.47662,0.98405,0.97071,0.97115,0.97609,0.74777,0.87085,0.46019,0.99586,0.000643625,0.000643625,0.000643625
51,4328.27,0.88278,0.48145,0.98605,0.95851,0.97224,0.97383,0.73966,0.87011,0.46165,0.98889,0.00063125,0.00063125,0.00063125
52,4407.5,0.86175,0.46877,0.97754,0.96891,0.96368,0.97369,0.75132,0.84698,0.45256,0.98449,0.000618875,0.000618875,0.000618875
53,4486.41,0.86785,0.46535,0.97806,0.96764,0.96706,0.97764,0.75018,0.84993,0.46224,0.98158,0.0006065,0.0006065,0.0006065
54,4562.83,0.86615,0.47139,0.9749,0.96534,0.96699,0.97742,0.74576,0.87983,0.45389,0.98885,0.000594125,0.000594125,0.000594125
55,4641.5,0.84951,0.4643,0.97707,0.96899,0.96307,0.97518,0.74445,0.8703,0.4445,0.97625,0.00058175,0.00058175,0.00058175
56,4717.3,0.83752,0.45956,0.96718,0.9738,0.97037,0.97939,0.74746,0.84667,0.44718,0.96851,0.000569375,0.000569375,0.000569375
57,4793.06,0.84723,0.46417,0.97521,0.97392,0.97233,0.97916,0.75053,0.85245,0.44572,0.97475,0.000557,0.000557,0.000557
58,4868.4,0.84724,0.45929,0.9678,0.97686,0.97145,0.98047,0.75484,0.8584,0.44611,0.97287,0.000544625,0.000544625,0.000544625
59,4944.5,0.83049,0.45045,0.96623,0.97128,0.97619,0.9775,0.754,0.85145,0.44298,0.97335,0.00053225,0.00053225,0.00053225
60,5020.36,0.84917,0.46092,0.96671,0.97162,0.97798,0.97953,0.75714,0.84052,0.44488,0.96909,0.000519875,0.000519875,0.000519875
61,5101.83,0.83639,0.45103,0.96816,0.97338,0.96756,0.97706,0.75364,0.84155,0.4431,0.97246,0.0005075,0.0005075,0.0005075
62,5180.25,0.82436,0.44624,0.96349,0.96804,0.97526,0.97865,0.75707,0.84686,0.44395,0.96781,0.000495125,0.000495125,0.000495125
63,5256.86,0.83254,0.45224,0.97256,0.97481,0.97802,0.97831,0.75943,0.84694,0.43814,0.97371,0.00048275,0.00048275,0.00048275
64,5332.93,0.83972,0.44982,0.97425,0.97054,0.97404,0.97929,0.75547,0.8514,0.43587,0.98046,0.000470375,0.000470375,0.000470375
65,5410.18,0.81915,0.44815,0.96673,0.96848,0.97427,0.98173,0.76216,0.83826,0.42692,0.97097,0.000458,0.000458,0.000458
66,5486.08,0.81071,0.43583,0.95713,0.97428,0.97159,0.98046,0.76457,0.84376,0.43154,0.97215,0.000445625,0.000445625,0.000445625
67,5562.2,0.81788,0.43989,0.96093,0.96968,0.97995,0.97738,0.75292,0.85822,0.43405,0.97181,0.00043325,0.00043325,0.00043325
68,5639.03,0.8277,0.43614,0.96541,0.97758,0.97301,0.97813,0.75591,0.83317,0.42834,0.96194,0.000420875,0.000420875,0.000420875
69,5713.7,0.8145,0.43722,0.96301,0.97652,0.97597,0.97995,0.76296,0.84315,0.42625,0.97672,0.0004085,0.0004085,0.0004085
70,5790.31,0.80603,0.43123,0.95795,0.97091,0.97313,0.97832,0.76185,0.83365,0.42729,0.97198,0.000396125,0.000396125,0.000396125
71,5880.23,0.79741,0.42769,0.9575,0.97505,0.9694,0.97745,0.76335,0.82714,0.42582,0.96577,0.00038375,0.00038375,0.00038375
72,5968.87,0.81048,0.43199,0.961,0.96866,0.97042,0.97658,0.76479,0.8257,0.42299,0.96693,0.000371375,0.000371375,0.000371375
73,6048.15,0.80795,0.43302,0.96039,0.97371,0.97171,0.97984,0.76506,0.82236,0.42298,0.96437,0.000359,0.000359,0.000359
74,6126.06,0.80622,0.43202,0.95837,0.9741,0.97393,0.98015,0.76302,0.82735,0.42298,0.96107,0.000346625,0.000346625,0.000346625
75,6203.39,0.80389,0.42844,0.95154,0.97609,0.97604,0.98046,0.76008,0.83362,0.41951,0.95963,0.00033425,0.00033425,0.00033425
76,6281.83,0.78976,0.41768,0.94907,0.97465,0.97151,0.97984,0.76355,0.82656,0.41296,0.97094,0.000321875,0.000321875,0.000321875
77,6358.14,0.79775,0.42464,0.95664,0.97456,0.96837,0.97835,0.76317,0.82341,0.41823,0.96806,0.0003095,0.0003095,0.0003095
78,6435.03,0.79341,0.42683,0.95757,0.96972,0.97856,0.98016,0.76697,0.82752,0.41724,0.97473,0.000297125,0.000297125,0.000297125
79,6512.31,0.78791,0.4178,0.95664,0.97187,0.97347,0.97869,0.76669,0.82352,0.41271,0.96671,0.00028475,0.00028475,0.00028475
80,6590.34,0.79659,0.42089,0.95225,0.97037,0.98065,0.98108,0.77155,0.82542,0.40253,0.96514,0.000272375,0.000272375,0.000272375
81,6671.8,0.79318,0.41587,0.95621,0.96675,0.98176,0.98061,0.76513,0.82802,0.41155,0.97768,0.00026,0.00026,0.00026
82,6757.62,0.77899,0.41005,0.94721,0.9775,0.97347,0.98165,0.76934,0.83111,0.40376,0.97098,0.000247625,0.000247625,0.000247625
83,6842.3,0.78291,0.41239,0.95401,0.97107,0.97283,0.98032,0.77041,0.8261,0.40179,0.97205,0.00023525,0.00023525,0.00023525
84,6928.33,0.77586,0.4065,0.94663,0.969,0.97845,0.98142,0.77003,0.82142,0.40085,0.97218,0.000222875,0.000222875,0.000222875
85,7011.25,0.76402,0.40205,0.9433,0.97215,0.97492,0.98143,0.76621,0.82838,0.40244,0.97121,0.0002105,0.0002105,0.0002105
86,7100.3,0.76605,0.40293,0.94433,0.96745,0.98182,0.98214,0.76742,0.82195,0.39944,0.96877,0.000198125,0.000198125,0.000198125
87,7186.43,0.77967,0.40648,0.95046,0.97321,0.97607,0.98095,0.77342,0.81594,0.3969,0.97053,0.00018575,0.00018575,0.00018575
88,7270.07,0.76007,0.39843,0.94528,0.97351,0.97943,0.98092,0.77263,0.81314,0.39604,0.97078,0.000173375,0.000173375,0.000173375
89,7355.15,0.76487,0.39723,0.94231,0.98096,0.9786,0.98152,0.77127,0.82106,0.39611,0.96706,0.000161,0.000161,0.000161
90,7432.74,0.76127,0.40088,0.94012,0.97761,0.9819,0.98258,0.77314,0.81609,0.39316,0.96427,0.000148625,0.000148625,0.000148625
91,7511.62,0.74489,0.37403,0.9216,0.97361,0.98079,0.98142,0.7672,0.82074,0.40167,0.96895,0.00013625,0.00013625,0.00013625
92,7594.69,0.73991,0.36857,0.9199,0.97642,0.98308,0.98225,0.77107,0.81312,0.40023,0.9589,0.000123875,0.000123875,0.000123875
93,7674.09,0.7294,0.36299,0.91518,0.97075,0.98067,0.97837,0.77078,0.81812,0.39857,0.96134,0.0001115,0.0001115,0.0001115
94,7751.11,0.72641,0.35892,0.91899,0.97407,0.98111,0.9804,0.7711,0.81917,0.39772,0.96455,9.9125e-05,9.9125e-05,9.9125e-05
95,7829.09,0.72897,0.36045,0.91841,0.97596,0.98169,0.98197,0.77356,0.81474,0.39537,0.96843,8.675e-05,8.675e-05,8.675e-05
96,7905.97,0.72887,0.35858,0.92172,0.97221,0.98093,0.9806,0.77311,0.81356,0.39164,0.95935,7.4375e-05,7.4375e-05,7.4375e-05
97,7985.12,0.72157,0.35538,0.91464,0.97321,0.98256,0.98096,0.77392,0.81702,0.39098,0.96363,6.2e-05,6.2e-05,6.2e-05
98,8061.19,0.72361,0.35859,0.91426,0.97221,0.98106,0.98019,0.77283,0.81514,0.39051,0.96356,4.9625e-05,4.9625e-05,4.9625e-05
99,8143.85,0.72062,0.35253,0.91408,0.97519,0.98137,0.98055,0.77403,0.81112,0.38966,0.96435,3.725e-05,3.725e-05,3.725e-05
100,8218.91,0.71606,0.35069,0.91401,0.97546,0.98123,0.98036,0.77613,0.80784,0.38595,0.96385,2.4875e-05,2.4875e-05,2.4875e-05
