epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1791,1.41222,2.34323,1.23218,0.75608,0.66897,0.73629,0.43612,1.37691,1.73809,1.1853,0.000413462,0.000413462,0.000413462
2,163.612,1.35471,1.33358,1.20441,0.83378,0.75727,0.81468,0.50551,1.284,1.24897,1.15294,0.00082191,0.00082191,0.00082191
3,245.577,1.26483,1.13949,1.15208,0.8515,0.83701,0.8799,0.55804,1.15441,1.10637,1.11819,0.00122211,0.00122211,0.00122211
4,328.565,1.22981,1.02977,1.13175,0.90371,0.90068,0.90976,0.56645,1.19107,0.9782,1.11934,0.00121287,0.00121287,0.00121287
5,411.157,1.17849,0.93221,1.11453,0.88173,0.87802,0.90251,0.54198,1.24279,0.97321,1.14872,0.0012005,0.0012005,0.0012005
6,494.975,1.19335,0.91369,1.11644,0.92747,0.90177,0.93191,0.61984,1.0793,0.84532,1.07757,0.00118812,0.00118812,0.00118812
7,580.949,1.16005,0.84385,1.10255,0.93755,0.89096,0.92478,0.59997,1.13556,0.82101,1.08849,0.00117575,0.00117575,0.00117575
8,663.449,1.10568,0.79903,1.07921,0.91211,0.90849,0.93651,0.63417,1.05523,0.73148,1.06315,0.00116337,0.00116337,0.00116337
9,740.303,1.11978,0.7761,1.09631,0.91395,0.90292,0.92949,0.63787,1.06485,0.73103,1.06134,0.001151,0.001151,0.001151
10,817.146,1.10296,0.7352,1.08647,0.90129,0.93157,0.93908,0.63453,1.03996,0.70274,1.04885,0.00113863,0.00113863,0.00113863
11,896.38,1.07582,0.72027,1.06979,0.91734,0.92609,0.94635,0.64502,1.03861,0.69565,1.04787,0.00112625,0.00112625,0.00112625
12,974.968,1.05557,0.69069,1.05904,0.93917,0.92565,0.94679,0.66988,1.01233,0.65552,1.04718,0.00111388,0.00111388,0.00111388
13,1052.99,1.05269,0.66833,1.05676,0.9165,0.92232,0.94242,0.645,1.04231,0.64745,1.05014,0.0011015,0.0011015,0.0011015
14,1131.42,1.03798,0.66262,1.05877,0.92214,0.93855,0.94971,0.67312,0.99852,0.62624,1.0293,0.00108913,0.00108913,0.00108913
15,1209.32,1.03601,0.64977,1.05939,0.94055,0.93889,0.95377,0.67292,0.9921,0.6244,1.04204,0.00107675,0.00107675,0.00107675
16,1287.48,1.01821,0.62768,1.05128,0.92807,0.93518,0.95668,0.6766,0.96879,0.59466,1.02871,0.00106437,0.00106437,0.00106437
17,1365.81,1.00506,0.62334,1.04588,0.95247,0.94144,0.95389,0.67884,0.96052,0.58863,1.02737,0.001052,0.001052,0.001052
18,1444.2,1.00844,0.62166,1.04276,0.93974,0.94062,0.95297,0.68516,0.99682,0.58493,1.03667,0.00103962,0.00103962,0.00103962
19,1522.68,1.0046,0.59443,1.04083,0.95791,0.9449,0.9575,0.68705,0.98566,0.56671,1.02159,0.00102725,0.00102725,0.00102725
20,1600.66,0.99139,0.59605,1.03343,0.94939,0.92462,0.95471,0.698,0.95454,0.56523,1.01765,0.00101488,0.00101488,0.00101488
21,1678.48,0.97787,0.58761,1.02747,0.96057,0.94462,0.95811,0.69288,0.9716,0.5624,1.02219,0.0010025,0.0010025,0.0010025
22,1757.11,0.98232,0.58368,1.03166,0.93034,0.94438,0.95521,0.68801,0.94586,0.57583,1.03808,0.000990125,0.000990125,0.000990125
23,1835.51,0.96867,0.56959,1.02973,0.94305,0.93315,0.95153,0.69896,0.96546,0.55206,1.033,0.00097775,0.00097775,0.00097775
24,1913.88,0.95577,0.55981,1.01896,0.94897,0.95204,0.9617,0.70007,0.94599,0.54417,1.0279,0.000965375,0.000965375,0.000965375
25,1992.33,0.95698,0.55648,1.02039,0.95824,0.95095,0.95875,0.70687,0.91722,0.5364,1.0053,0.000953,0.000953,0.000953
26,2070.66,0.95432,0.56019,1.01652,0.95935,0.95004,0.96382,0.70854,0.91759,0.52442,1.00181,0.000940625,0.000940625,0.000940625
27,2148.88,0.93716,0.5353,1.01074,0.95175,0.95087,0.96189,0.71719,0.93047,0.53151,1.01518,0.00092825,0.00092825,0.00092825
28,2227.5,0.95567,0.55624,1.02079,0.94598,0.95025,0.96246,0.70752,0.9411,0.53334,1.00754,0.000915875,0.000915875,0.000915875
29,2306.36,0.93964,0.54462,1.01893,0.95361,0.95519,0.96269,0.71022,0.93372,0.51935,1.01674,0.0009035,0.0009035,0.0009035
